id,title,What else do you think the Lagos State Government should do to prevent the spread of the Virus?
1,comment 1,Continuous re-orientation 
2,comment 2,The Government of Lagos state should provide parliative measure for the citizens who are not civil servants. 
3,comment 3,"They should provide a well designated unit all round the state where people will come and test if positive or negative to the corona virus,the thermal temperature checks isnt enough.Please am scared."
4,comment 4,The should sanitize all the public places with diseffectant and place sanitizer in the public places...
5,comment 5,They should enforce the stay at home policy and provide free foods for the masses
6,comment 6,Total lock down
7,comment 7,Strictly enforcing the total lock down for a period of time
8,comment 8,Provision and distribution of face masks and sanitizers at affordable price. Provision of hand sanitizers at strategic points..
9,comment 9,The state govt. should provide some basic items that would make people stay at home to work.
10,comment 10,People locked in thier house should have food to eat else hunger will force them all out
11,comment 11,The state government should create more test centres throughout to state so that people can have access to more test kits. And also shut down the whole civil service.
12,comment 12,Create more awareness and send people out to do house to house campaign and share facemasks and sanitizer because some people cannot afford it. Itesiwaju Ipinle Eko Like Wa Logun
13,comment 13,Fumigation
14,comment 14,Free test for virus
15,comment 15,Continue to educate the public and reassure them with data to prove improvements 
16,comment 16,"Lagos State govt. Should make provision for we that are self employed, bcoz no enough money to Carter for our family in this stay at home order"
17,comment 17,Total lock down everywhere...restrict movement...lock down market areas...and at least buy food stuffs to all residents...
18,comment 18,We need more prayers for our land. God will answer our prayers in Jesus name amen
19,comment 19,Encourage the low earner to get basic need
20,comment 20,The should be serous with the lockdown cos some people are still going outside 
21,comment 21,"Stop yello buses, test people's temperature before boarding the long buses. Use local languages to spread the awareness in local markets because most of the vulnerable and less educated people are in the local food markets. "
22,comment 22,"They should stop anybody coming from abroad into lagos state for now, and for total lockdown government should remember the poor that depend on day by day income ,if they can support every lagosian with any amount to buy food at home for the period of lock down it will be the best.Eko oni baje."
23,comment 23,Deploy more testing centers
24,comment 24,"No lights no money and you said people should stay home, give us money and light"
25,comment 25,Mass treatment during lockdown
26,comment 26,Appointment of military men to pursue every individuals to their home
27,comment 27,Total lockdown and 24hrs curfew
28,comment 28,Mandate all lagosians to stay at home to avoid the spread and keep safe for atleast 3 weeks.
29,comment 29,Pay certain amount into every acount base on BVN
30,comment 30,"Provide food,so people will have no reason for going out"
31,comment 31,Sanitation of all the local government areas of Lagos state
32,comment 32,Make test kits available and accessible at every government and private hospitals.
33,comment 33,"The government is doing good alepready, the problem is the hardship the populace are goiņg through. There is need to alivate this house to house free supplies, using the LAGS Residence Registration number. This is the time to show how relevant the registration was."
34,comment 34,"With the type of geographical settings we have, to encourage lockdown totally, government should do something in return to poeple like replenishing individuals purse. Otherwise if some people are not ok financially, they will need to go out in search  for money."
35,comment 35,Inform citizens on the covid-19 virus and how to prevent getting infected and spreading the virus 
36,comment 36,It should locked down the border and enforce the staying at home shii.
37,comment 37,Fumigation of the entire state
38,comment 38,Give palliative that will encourage lagosian to stay at home to prevent spread of the Viruss 
39,comment 39,They should provide food stuff and give out money to the people that have bank verification number
40,comment 40,Lagos state should government should provide free sanitizer and Nose mark for all is Residences..And also they should send Healthcare ministry or workers around neighbourhood to Test each peoples house to house..thanks 
41,comment 41,"Public enlightening, due to ignorance of our people about religion"
42,comment 42,They need do more awareness and help those that are in local area. 
43,comment 43,Make provision for the citizen so they can abide to the quaratine
44,comment 44,"It by giving the necessary care/need to the citizens of the state, and to allot military at different landmark, such as: town bus stop and the likes."
45,comment 45,Make adequate provision for the citizen especially those that could not afford food in other not to make them go out and been infected with the virus
46,comment 46,General testing and vaccination
